username,firstname,lastname,email,password,city,country,timezone,cohort1,course1,role1,course2,role2,course3,role3
su-admin,Fartun,Warsame,admin@somaliuniversity.demo.test,SUDemo-Admin-2026!,Mogadishu,SO,Africa/Mogadishu,somali-university,,,,,,
su-teacher1,Hamdi,Mohamed,su-teacher1@somaliuniversity.demo.test,SUDemo-T1-2026!,Mogadishu,SO,Africa/Mogadishu,somali-university,su-eng101,editingteacher,,,,
su-teacher2,Bashir,Yusuf,su-teacher2@somaliuniversity.demo.test,SUDemo-T2-2026!,Mogadishu,SO,Africa/Mogadishu,somali-university,su-math101,editingteacher,,,,
su-teacher3,Jawahir,Duale,su-teacher3@somaliuniversity.demo.test,SUDemo-T3-2026!,Mogadishu,SO,Africa/Mogadishu,somali-university,su-qurn101,editingteacher,,,,
su-teacher4,Khalid,Awale,su-teacher4@somaliuniversity.demo.test,SUDemo-T4-2026!,Mogadishu,SO,Africa/Mogadishu,somali-university,su-arb101,editingteacher,,,,
su-teacher5,Ubax,Nuur,su-teacher5@somaliuniversity.demo.test,SUDemo-T5-2026!,Mogadishu,SO,Africa/Mogadishu,somali-university,su-isl101,editingteacher,,,,
su-student001,Yasmin,Mire,su-student001@somaliuniversity.demo.test,SUDemo-S001-2026!,Mogadishu,SO,Africa/Mogadishu,somali-university,su-eng101,student,,,,
su-student002,Hamza,Jama,su-student002@somaliuniversity.demo.test,SUDemo-S002-2026!,Mogadishu,SO,Africa/Mogadishu,somali-university,su-arb101,student,su-math101,student,su-isl101,student
su-student003,Ismail,Yusuf,su-student003@somaliuniversity.demo.test,SUDemo-S003-2026!,Mogadishu,SO,Africa/Mogadishu,somali-university,su-eng101,student,su-qurn101,student,su-isl101,student
su-student004,Elmi,Isse,su-student004@somaliuniversity.demo.test,SUDemo-S004-2026!,Mogadishu,SO,Africa/Mogadishu,somali-university,su-isl101,student,su-arb101,student,,
su-student005,Mustaf,Gedi,su-student005@somaliuniversity.demo.test,SUDemo-S005-2026!,Mogadishu,SO,Africa/Mogadishu,somali-university,su-isl101,student,su-arb101,student,,
su-student006,Yasmin,Ismail,su-student006@somaliuniversity.demo.test,SUDemo-S006-2026!,Mogadishu,SO,Africa/Mogadishu,somali-university,su-eng101,student,su-math101,student,su-qurn101,student
su-student007,Zakariye,Farah,su-student007@somaliuniversity.demo.test,SUDemo-S007-2026!,Mogadishu,SO,Africa/Mogadishu,somali-university,su-isl101,student,su-arb101,student,su-qurn101,student
su-student008,Sagal,Mire,su-student008@somaliuniversity.demo.test,SUDemo-S008-2026!,Mogadishu,SO,Africa/Mogadishu,somali-university,su-arb101,student,su-qurn101,student,,
su-student009,Halima,Hussein,su-student009@somaliuniversity.demo.test,SUDemo-S009-2026!,Mogadishu,SO,Africa/Mogadishu,somali-university,su-isl101,student,su-arb101,student,su-qurn101,student
su-student010,Mustaf,Duale,su-student010@somaliuniversity.demo.test,SUDemo-S010-2026!,Mogadishu,SO,Africa/Mogadishu,somali-university,su-arb101,student,su-qurn101,student,,
su-student011,Zakariye,Duale,su-student011@somaliuniversity.demo.test,SUDemo-S011-2026!,Mogadishu,SO,Africa/Mogadishu,somali-university,su-eng101,student,,,,
