mock_teacher_no,teacher_display_name,teacher_firstname,teacher_lastname,teacher_username,teacher_contact,teacher_phone,preferred_contact,gender,country,city,timezone,timezone_group,primary_language,other_languages,courses_taught,levels_taught,max_students_per_class,max_weekly_hours,availability_days,availability_hours_local,availability_slots,availability_summary,bbb_trained,safeguarding_trained,recording_qa_ack,status,can_teach_children,preferred_student_gender,preferred_age_range,group_capacity_notes,moodle_course_ready,bbb_ready,quality_review_required,admin_notes
SU-T-001,Teacher Hamdi Mohamed,Hamdi,Mohamed,su-teacher1,su-teacher1@somaliuniversity.demo.test,+252610020001,email,female,Somalia,Mogadishu,Africa/Mogadishu,Somalia,Somali,"English, Arabic",Academic English I,year_1,40,20,"Monday, Tuesday, Wednesday, Thursday, Saturday",Mon/Wed 10:00 AM,,Leads Academic English I (SU-ENG101); Mon/Wed 10:00 AM.,yes,yes,yes,active,no,mixed adult cohorts,18-30,Course capacity 240.,yes,yes,standard monthly QA,Demo teacher record for Somali University onboarding.
SU-T-002,Teacher Bashir Aden,Bashir,Aden,su-teacher2,su-teacher2@somaliuniversity.demo.test,+252610020002,whatsapp,male,Somalia,Mogadishu,Africa/Mogadishu,Somalia,Somali,"English, Arabic",University Mathematics I,year_1,40,20,"Monday, Tuesday, Wednesday, Thursday, Saturday",Tue/Thu 8:00 AM,,Leads University Mathematics I (SU-MATH101); Tue/Thu 8:00 AM.,yes,yes,yes,active,no,mixed adult cohorts,18-30,Course capacity 240.,yes,yes,standard monthly QA,Demo teacher record for Somali University onboarding.
SU-T-003,Teacher Jawahir Gedi,Jawahir,Gedi,su-teacher3,su-teacher3@somaliuniversity.demo.test,+252610020003,email,female,Somalia,Mogadishu,Africa/Mogadishu,Somalia,Somali,"English, Arabic",Introduction to Computing,year_1,40,20,"Monday, Tuesday, Wednesday, Thursday, Saturday",Sat/Sun 4:00 PM,,Leads Introduction to Computing (SU-ICT101); Sat/Sun 4:00 PM.,yes,yes,yes,active,no,mixed adult cohorts,18-30,Course capacity 210.,yes,yes,standard monthly QA,Demo teacher record for Somali University onboarding.
SU-T-004,Teacher Khalid Sheikh,Khalid,Sheikh,su-teacher4,su-teacher4@somaliuniversity.demo.test,+252610020004,whatsapp,male,Somalia,Mogadishu,Africa/Mogadishu,Somalia,Somali,"English, Arabic",Arabic Language I,year_1,40,20,"Monday, Tuesday, Wednesday, Thursday, Saturday",Mon/Thu 2:00 PM,,Leads Arabic Language I (SU-ARB101); Mon/Thu 2:00 PM.,yes,yes,yes,active,no,mixed adult cohorts,18-30,Course capacity 240.,yes,yes,standard monthly QA,Demo teacher record for Somali University onboarding.
SU-T-005,Teacher Ubax Jama,Ubax,Jama,su-teacher5,su-teacher5@somaliuniversity.demo.test,+252610020005,email,female,Somalia,Mogadishu,Africa/Mogadishu,Somalia,Somali,"English, Arabic",Principles of Economics I,year_1,40,20,"Monday, Tuesday, Wednesday, Thursday, Saturday",Tue/Sat 6:00 PM,,Leads Principles of Economics I (SU-ECON101); Tue/Sat 6:00 PM.,yes,yes,yes,active,no,mixed adult cohorts,18-30,Course capacity 270.,yes,yes,standard monthly QA,Demo teacher record for Somali University onboarding.
SU-T-006,Teacher Abdi Duale,Abdi,Duale,su-teacher6,su-teacher6@somaliuniversity.demo.test,+252610020006,whatsapp,male,Somalia,Mogadishu,Africa/Mogadishu,Somalia,Somali,"English, Arabic",Academic English I,year_1,40,20,"Monday, Tuesday, Wednesday, Thursday, Saturday",Mon/Wed 10:00 AM,,Leads Academic English I (SU-ENG101); Mon/Wed 10:00 AM.,yes,yes,yes,active,no,mixed adult cohorts,18-30,Course capacity 240.,yes,yes,standard monthly QA,Demo teacher record for Somali University onboarding.
SU-T-007,Teacher Yasmin Hersi,Yasmin,Hersi,su-teacher7,su-teacher7@somaliuniversity.demo.test,+252610020007,email,female,Somalia,Mogadishu,Africa/Mogadishu,Somalia,Somali,"English, Arabic",University Mathematics I,year_1,40,20,"Monday, Tuesday, Wednesday, Thursday, Saturday",Tue/Thu 8:00 AM,,Leads University Mathematics I (SU-MATH101); Tue/Thu 8:00 AM.,yes,yes,yes,active,no,mixed adult cohorts,18-30,Course capacity 240.,yes,yes,standard monthly QA,Demo teacher record for Somali University onboarding.
SU-T-008,Teacher Nur Hussein,Nur,Hussein,su-teacher8,su-teacher8@somaliuniversity.demo.test,+252610020008,whatsapp,male,Somalia,Mogadishu,Africa/Mogadishu,Somalia,Somali,"English, Arabic",Introduction to Computing,year_1,40,20,"Monday, Tuesday, Wednesday, Thursday, Saturday",Sat/Sun 4:00 PM,,Leads Introduction to Computing (SU-ICT101); Sat/Sun 4:00 PM.,yes,yes,yes,active,no,mixed adult cohorts,18-30,Course capacity 210.,yes,yes,standard monthly QA,Demo teacher record for Somali University onboarding.
SU-T-009,Teacher Ifrah Osman,Ifrah,Osman,su-teacher9,su-teacher9@somaliuniversity.demo.test,+252610020009,email,female,Somalia,Mogadishu,Africa/Mogadishu,Somalia,Somali,"English, Arabic",Arabic Language I,year_1,40,20,"Monday, Tuesday, Wednesday, Thursday, Saturday",Mon/Thu 2:00 PM,,Leads Arabic Language I (SU-ARB101); Mon/Thu 2:00 PM.,yes,yes,yes,active,no,mixed adult cohorts,18-30,Course capacity 240.,yes,yes,standard monthly QA,Demo teacher record for Somali University onboarding.
SU-T-010,Teacher Abdullahi Egal,Abdullahi,Egal,su-teacher10,su-teacher10@somaliuniversity.demo.test,+252610020010,whatsapp,male,Somalia,Mogadishu,Africa/Mogadishu,Somalia,Somali,"English, Arabic",Principles of Economics I,year_1,40,20,"Monday, Tuesday, Wednesday, Thursday, Saturday",Tue/Sat 6:00 PM,,Leads Principles of Economics I (SU-ECON101); Tue/Sat 6:00 PM.,yes,yes,yes,active,no,mixed adult cohorts,18-30,Course capacity 270.,yes,yes,standard monthly QA,Demo teacher record for Somali University onboarding.
