mock_student_no,student_display_name,student_firstname,student_lastname,age,over_18,gender,special_needs,course_type,country,city,timezone,timezone_group,primary_language,other_languages,current_level,base_of_learning,number_of_sessions_per_week,preferred_days,preferred_hours_local,schedule_choices,parent_guardian_required,parent_name,parent_contact_email_or_phone,parent_phone_whatsapp,live_class_consent,recording_consent,consent_notes_comment,recommended_group_pool,recommended_group_size_target,bbb_ready,moodle_course_group_ready,admin_notes
1,Ayaan Yusuf,Ayaan,Yusuf,7,no,male,no,Quraan Memorization Course,United States,Minneapolis,America/Chicago,Minnesota,English,"Somali, Arabic",level_1,knows_letters,2,"Tuesday, Thursday","6:00 PM, 7:00 PM",Tuesday 6:00 PM; Thursday 7:00 PM,yes,Khadra Yusuf,parent01@example.test,+10000000001,yes,yes,Mock consent captured for planning only.,Minnesota | Quraan Memorization Course | level_1 | male | ages 6-8,9,yes,yes,"Mock record for grouping, scheduling, and BBB/Moodle alignment."
2,Maryam Ali,Maryam,Ali,9,no,female,no,Pre-quraan Course,United States,Saint Paul,America/Chicago,Minnesota,English,"Somali, Arabic",short_surahs,can_read_simple_words,3,Saturday,"7:00 PM, 8:00 PM",Saturday 7:00 PM,yes,Hussein Ali,parent02@example.test,+10000000002,yes,yes,Mock consent captured for planning only.,Minnesota | Pre-quraan Course | short_surahs | female | ages 8-10,9,yes,yes,"Mock record for grouping, scheduling, and BBB/Moodle alignment."
3,Yusuf Osman,Yusuf,Osman,11,no,male,no,Quraan Memorization Course,United States,Rochester,America/Chicago,Minnesota,English,"Somali, Arabic",alphabet,needs_revision,4,"Sunday, Wednesday","8:00 PM, 5:00 PM, 6:00 PM",Sunday 8:00 PM; Wednesday 5:00 PM,yes,Zamzam Osman,parent03@example.test,+10000000003,yes,yes,Mock consent captured for planning only.,Minnesota | Quraan Memorization Course | alphabet | male | ages 10-12,9,yes,yes,"Mock record for grouping, scheduling, and BBB/Moodle alignment."
4,Fatima Nur,Fatima,Nur,13,no,female,no,Pre-quraan Course,United States,Bloomington,America/Chicago,Minnesota,English,"Somali, Arabic",level_2,memorization_beginner,5,"Monday, Friday","5:00 PM, 6:00 PM, 7:00 PM",Monday 5:00 PM; Friday 6:00 PM,yes,Omar Nur,parent04@example.test,+10000000004,yes,no,Mock consent captured for planning only.,Minnesota | Pre-quraan Course | level_2 | female | ages 12-14,9,yes,yes,"Mock record for grouping, scheduling, and BBB/Moodle alignment."
5,Omar Farah,Omar,Farah,15,no,male,no,Quraan Memorization Course,United States,Duluth,America/Chicago,Minnesota,English,"Somali, Arabic",tajweed_intro,new_learner,1,"Monday, Wednesday",6:00 PM,Monday 6:00 PM; Wednesday 6:00 PM,yes,Abdirahman Farah,parent05@example.test,+10000000005,yes,yes,Mock consent captured for planning only.,Minnesota | Quraan Memorization Course | tajweed_intro | male | ages 14-16,9,yes,yes,"Mock record for grouping, scheduling, and BBB/Moodle alignment."
6,Hana Yusuf,Hana,Yusuf,17,no,female,no,Pre-quraan Course,United States,Minneapolis,America/Chicago,Minnesota,English,"Somali, Arabic",level_1,knows_letters,2,"Tuesday, Thursday","7:00 PM, 8:00 PM",Tuesday 7:00 PM; Thursday 8:00 PM,yes,Khadra Yusuf,parent06@example.test,+10000000006,yes,yes,Mock consent captured for planning only.,Minnesota | Pre-quraan Course | level_1 | female | ages 16-18,9,yes,yes,"Mock record for grouping, scheduling, and BBB/Moodle alignment."
7,Ibrahim Ali,Ibrahim,Ali,6,no,male,yes,Quraan Memorization Course,United States,Saint Paul,America/Chicago,Minnesota,English,"Somali, Arabic",short_surahs,can_read_simple_words,3,Saturday,"8:00 PM, 5:00 PM",Saturday 8:00 PM,yes,Hussein Ali,parent07@example.test,+10000000007,yes,yes,Mock consent captured for planning only.,Minnesota | Quraan Memorization Course | short_surahs | male | ages 6-7,9,yes,yes,"Mock record for grouping, scheduling, and BBB/Moodle alignment."
8,Zahra Osman,Zahra,Osman,8,no,female,no,Pre-quraan Course,United States,Rochester,America/Chicago,Minnesota,English,"Somali, Arabic",alphabet,needs_revision,4,"Sunday, Wednesday","5:00 PM, 6:00 PM, 7:00 PM",Sunday 5:00 PM; Wednesday 6:00 PM,yes,Zamzam Osman,parent08@example.test,+10000000008,yes,no,Mock consent captured for planning only.,Minnesota | Pre-quraan Course | alphabet | female | ages 7-9,9,yes,yes,"Mock record for grouping, scheduling, and BBB/Moodle alignment."
9,Adam Nur,Adam,Nur,10,no,male,no,Quraan Memorization Course,United States,Bloomington,America/Chicago,Minnesota,English,"Somali, Arabic",level_2,memorization_beginner,5,"Monday, Friday","6:00 PM, 7:00 PM, 8:00 PM",Monday 6:00 PM; Friday 7:00 PM,yes,Omar Nur,parent09@example.test,+10000000009,yes,yes,Mock consent captured for planning only.,Minnesota | Quraan Memorization Course | level_2 | male | ages 9-11,9,yes,yes,"Mock record for grouping, scheduling, and BBB/Moodle alignment."
10,Safiya Farah,Safiya,Farah,12,no,female,no,Pre-quraan Course,United States,Duluth,America/Chicago,Minnesota,English,"Somali, Arabic",tajweed_intro,new_learner,1,"Monday, Wednesday",7:00 PM,Monday 7:00 PM; Wednesday 7:00 PM,yes,Abdirahman Farah,parent10@example.test,+10000000010,yes,yes,Mock consent captured for planning only.,Minnesota | Pre-quraan Course | tajweed_intro | female | ages 11-13,9,yes,yes,"Mock record for grouping, scheduling, and BBB/Moodle alignment."
11,Musa Yusuf,Musa,Yusuf,14,no,male,no,Quraan Memorization Course,United States,Minneapolis,America/Chicago,Minnesota,English,"Somali, Arabic",level_1,knows_letters,2,"Tuesday, Thursday","8:00 PM, 5:00 PM",Tuesday 8:00 PM; Thursday 5:00 PM,yes,Khadra Yusuf,parent11@example.test,+10000000011,yes,yes,Mock consent captured for planning only.,Minnesota | Quraan Memorization Course | level_1 | male | ages 13-15,9,yes,yes,"Mock record for grouping, scheduling, and BBB/Moodle alignment."
